used, total, date
2.73,5.43,1648427541529
2.76,5.43,1648427542533
3.2,5.48,1648427542547
3.2,5.48,1648427543534
3.2,5.48,1648427543544
3.2,5.48,1648427544541
3.01,5.98,1648427544564
3.03,5.98,1648427545536
3.58,5.98,1648427545552
3.59,5.98,1648427546537
3.15,5.98,1648427546553
3.16,5.98,1648427547539
2.71,5.98,1648427547555
2.72,5.98,1648427548540
3.27,5.98,1648427548556
3.29,5.98,1648427549541
2.84,5.98,1648427549559
2.85,5.98,1648427550542
3.4,5.98,1648427550552
3.41,5.98,1648427551543
2.97,5.98,1648427551561
2.98,5.98,1648427552544
3.53,5.98,1648427552561
3.54,5.98,1648427553545
3.09,5.98,1648427553562
3.11,5.98,1648427554547
3.66,5.98,1648427554563
3.67,5.98,1648427555548
3.22,5.98,1648427555565
3.23,5.98,1648427556549
2.79,5.98,1648427556566
2.8,5.98,1648427557551
3.35,5.98,1648427557569
3.36,5.98,1648427558552
2.92,5.98,1648427558570
2.93,5.98,1648427559554
3.48,5.98,1648427559573
3.49,5.98,1648427560555
3.04,5.98,1648427560573
3.06,5.98,1648427561557
3.61,5.98,1648427561573
3.62,5.98,1648427562558
3.17,5.98,1648427562575
3.18,5.98,1648427563559
2.74,5.98,1648427563577
2.75,5.98,1648427564560
3.3,5.98,1648427564578
3.31,5.98,1648427565561
2.86,5.98,1648427565578
2.88,5.98,1648427566562
3.43,5.98,1648427566571
3.44,5.98,1648427567563
2.99,5.98,1648427567581
3,5.98,1648427568564
3.56,5.98,1648427568583
3.57,5.98,1648427569566
3.12,5.98,1648427569584
3.13,5.98,1648427570568
3.68,5.98,1648427570586
3.69,5.98,1648427571568
3.25,5.98,1648427571587
3.26,5.98,1648427572570
2.81,5.98,1648427572590
2.82,5.98,1648427573571
3.38,5.98,1648427573590
3.39,5.98,1648427574572
2.94,5.98,1648427574592
2.95,5.98,1648427575573
3.5,5.98,1648427575591
3.51,5.98,1648427576574
3.07,5.98,1648427576592
3.08,5.98,1648427577576
3.63,5.98,1648427577594
3.64,5.98,1648427578576
3.2,5.98,1648427578594
3.21,5.98,1648427579577
2.76,5.98,1648427579597
2.77,5.98,1648427580579
3.32,5.98,1648427580597
3.33,5.98,1648427581580
2.89,5.98,1648427581600
2.9,5.98,1648427582581
3.45,5.98,1648427582598
3.46,5.98,1648427583582
3.01,5.98,1648427583603
3.03,5.98,1648427584583
3.58,5.98,1648427584601
3.59,5.98,1648427585585
3.14,5.98,1648427585605
3.15,5.98,1648427586586
2.71,5.98,1648427586598
2.72,5.98,1648427587587
3.27,5.98,1648427587605
3.28,5.98,1648427588588
2.84,5.98,1648427588595
2.85,5.98,1648427589589
3.4,5.98,1648427589609
3.41,5.98,1648427590590
2.96,5.98,1648427590607
2.98,5.98,1648427591591
3.53,5.98,1648427591595
3.53,5.98,1648427591595
