used, total, date
2.75,5.43,1648429414547
2.78,5.43,1648429415549
2.79,5.48,1648429415554
2.79,5.48,1648429416550
2.8,5.48,1648429416561
2.8,5.48,1648429417557
2.8,5.48,1648429417560
2.8,5.48,1648429418553
2.8,5.48,1648429418556
2.81,5.48,1648429419554
2.81,5.48,1648429419557
2.81,5.48,1648429420557
2.81,5.48,1648429420559
2.81,5.48,1648429421558
2.81,5.48,1648429421561
2.81,5.48,1648429422559
2.81,5.48,1648429422562
2.04,4.48,1648429423560
2.04,4.48,1648429423562
2.04,4.48,1648429424561
2.04,4.48,1648429424564
2.04,4.48,1648429425562
2.04,4.48,1648429425565
2.04,4.48,1648429426563
2.04,4.48,1648429426566
2.05,4.48,1648429427564
2.05,4.48,1648429427567
2.05,4.48,1648429428565
2.05,4.48,1648429428568
2.05,4.48,1648429429567
2.05,4.48,1648429429570
2.05,4.48,1648429430568
2.05,4.48,1648429430571
2.05,4.48,1648429431568
2.05,4.48,1648429431571
2.05,4.48,1648429432571
2.05,4.48,1648429432573
2.05,4.48,1648429433572
2.06,4.48,1648429433575
2.06,4.48,1648429434573
2.06,4.48,1648429434575
2.06,4.48,1648429435574
2.06,4.48,1648429435577
2.06,4.48,1648429436575
2.06,4.48,1648429436578
2.06,4.48,1648429437576
2.06,4.48,1648429437579
2.06,4.48,1648429438577
2.06,4.48,1648429438580
2.06,4.48,1648429439578
2.06,4.48,1648429439581
2.06,4.48,1648429440580
2.06,4.48,1648429440582
2.07,4.48,1648429441581
2.07,4.48,1648429441583
2.07,4.48,1648429442582
2.07,4.48,1648429442585
2.07,4.48,1648429443584
2.07,4.48,1648429443586
2.07,4.48,1648429444585
2.07,4.48,1648429444587
2.07,4.48,1648429445586
2.07,4.48,1648429445589
2.07,4.48,1648429446588
2.07,4.48,1648429446590
2.07,4.48,1648429447589
2.07,4.48,1648429447592
2.07,4.48,1648429448590
2.08,4.48,1648429448593
2.08,4.48,1648429449591
2.08,4.48,1648429449594
2.08,4.48,1648429450592
2.08,4.48,1648429450595
2.08,4.48,1648429451593
2.08,4.48,1648429451596
2.08,4.48,1648429452594
2.08,4.48,1648429452597
2.08,4.48,1648429453595
2.08,4.48,1648429453598
2.08,4.48,1648429454596
2.08,4.48,1648429454599
2.08,4.48,1648429455596
2.08,4.48,1648429455598
2.09,4.48,1648429456598
2.09,4.48,1648429456599
2.09,4.48,1648429457599
2.09,4.48,1648429457600
2.09,4.48,1648429458600
2.09,4.48,1648429458601
2.09,4.48,1648429459600
2.09,4.48,1648429459603
2.09,4.48,1648429460601
2.09,4.48,1648429460602
2.09,4.48,1648429461602
2.09,4.48,1648429461603
2.09,4.48,1648429462603
2.09,4.48,1648429462606
2.1,4.48,1648429463604
2.1,4.48,1648429463607
2.1,4.48,1648429464604
2.1,4.48,1648429464607
2.1,4.48,1648429464608
