used, total, date
2.73,5.43,1648430647206
2.77,5.43,1648430648209
3.13,7.98,1648430648225
3.14,7.98,1648430649210
3.14,7.98,1648430649221
3.14,7.98,1648430650217
3.14,7.98,1648430650220
3.15,7.98,1648430651212
3.15,7.98,1648430651216
3.15,7.98,1648430652212
3.15,7.98,1648430652215
3.15,7.98,1648430653214
3.15,7.98,1648430653216
3.15,7.98,1648430654215
3.15,7.98,1648430654217
3.15,7.98,1648430655216
3.15,7.98,1648430655219
2.04,4.23,1648430656216
2.04,4.23,1648430656219
2.04,4.23,1648430657216
2.04,4.23,1648430657219
2.04,4.23,1648430658218
2.04,4.23,1648430658221
2.04,4.23,1648430659220
2.04,4.23,1648430659223
2.05,4.23,1648430660221
2.05,4.23,1648430660224
2.05,4.23,1648430661224
2.05,4.23,1648430661226
2.05,4.23,1648430662224
2.05,4.23,1648430662227
2.05,4.23,1648430663225
2.05,4.23,1648430663228
2.05,4.23,1648430664228
2.05,4.23,1648430664230
2.05,4.23,1648430665228
2.05,4.23,1648430665231
2.05,4.23,1648430666229
2.06,4.23,1648430666231
2.06,4.23,1648430667230
2.06,4.23,1648430667232
2.06,4.23,1648430668231
2.06,4.23,1648430668233
2.06,4.23,1648430669232
2.06,4.23,1648430669235
2.06,4.23,1648430670232
2.06,4.23,1648430670235
2.06,4.23,1648430671232
2.06,4.23,1648430671235
2.06,4.23,1648430672232
2.06,4.23,1648430672235
2.06,4.23,1648430673235
2.06,4.23,1648430673237
2.07,4.23,1648430674236
2.07,4.23,1648430674239
2.07,4.23,1648430675237
2.07,4.23,1648430675239
2.07,4.23,1648430676238
2.07,4.23,1648430676241
2.07,4.23,1648430677240
2.07,4.23,1648430677242
2.07,4.23,1648430678240
2.07,4.23,1648430678243
2.07,4.23,1648430679241
2.07,4.23,1648430679244
2.07,4.23,1648430680242
2.07,4.23,1648430680245
2.07,4.23,1648430681243
2.08,4.23,1648430681246
2.08,4.23,1648430682244
2.08,4.23,1648430682247
2.08,4.23,1648430683244
2.08,4.23,1648430683247
2.08,4.23,1648430684246
2.08,4.23,1648430684248
2.08,4.23,1648430685247
2.08,4.23,1648430685249
2.08,4.23,1648430686248
2.08,4.23,1648430686250
2.08,4.23,1648430687248
2.08,4.23,1648430687251
2.08,4.23,1648430688249
2.08,4.23,1648430688252
2.09,4.23,1648430689252
2.09,4.23,1648430689255
2.09,4.23,1648430690253
2.09,4.23,1648430690256
2.09,4.23,1648430691254
2.09,4.23,1648430691257
2.09,4.23,1648430692255
2.09,4.23,1648430692257
2.09,4.23,1648430693256
2.09,4.23,1648430693258
2.09,4.23,1648430694256
2.09,4.23,1648430694259
2.09,4.23,1648430695257
2.09,4.23,1648430695260
2.1,4.23,1648430696259
2.1,4.23,1648430696261
2.1,4.23,1648430697260
2.1,4.23,1648430697262
2.1,4.23,1648430697263
