used, total, date
2.73,5.43,1648429694188
2.76,5.43,1648429695191
3.01,7.73,1648429695235
3.03,7.73,1648429696193
3.78,7.73,1648429696230
3.79,7.73,1648429697200
4.53,7.73,1648429697233
4.54,7.73,1648429698195
3.29,7.73,1648429698270
3.3,7.73,1648429699196
4.04,7.73,1648429699234
4.05,7.73,1648429700197
2.79,7.73,1648429700234
2.8,7.73,1648429701198
3.54,7.73,1648429701235
3.56,7.73,1648429702199
4.29,7.73,1648429702269
4.31,7.73,1648429703201
3.05,7.73,1648429703238
3.06,7.73,1648429704202
3.8,7.73,1648429704271
3.81,7.73,1648429705203
4.55,7.73,1648429705268
4.56,7.73,1648429706204
3.3,7.73,1648429706241
3.32,7.73,1648429707205
4.06,7.73,1648429707243
4.07,7.73,1648429708207
2.81,7.73,1648429708244
2.82,7.73,1648429709208
3.56,7.73,1648429709268
3.57,7.73,1648429710209
4.31,7.73,1648429710279
4.33,7.73,1648429711210
3.07,7.73,1648429711249
3.08,7.73,1648429712211
3.82,7.73,1648429712280
3.83,7.73,1648429713212
4.57,7.73,1648429713247
4.58,7.73,1648429714213
3.32,7.73,1648429714250
3.34,7.73,1648429715214
4.07,7.73,1648429715252
4.09,7.73,1648429716215
2.83,7.73,1648429716251
2.84,7.73,1648429717217
3.58,7.73,1648429717255
3.59,7.73,1648429718218
4.33,7.73,1648429718255
4.34,7.73,1648429719219
3.08,7.73,1648429719286
3.1,7.73,1648429720220
3.84,7.73,1648429720289
3.85,7.73,1648429721221
4.59,7.73,1648429721258
4.6,7.73,1648429722222
3.34,7.73,1648429722259
3.35,7.73,1648429723223
4.09,7.73,1648429723263
4.1,7.73,1648429724224
2.85,7.73,1648429724261
2.86,7.73,1648429725224
3.63,7.73,1648429725262
3.64,7.73,1648429726226
4.38,7.73,1648429726295
4.39,7.73,1648429727227
3.13,7.73,1648429727292
3.15,7.73,1648429728228
3.88,7.73,1648429728263
3.9,7.73,1648429729228
4.64,7.73,1648429729294
4.65,7.73,1648429730230
3.39,7.73,1648429730299
3.4,7.73,1648429731231
4.14,7.73,1648429731268
4.15,7.73,1648429732233
2.89,7.73,1648429732270
2.91,7.73,1648429733234
3.65,7.73,1648429733302
3.66,7.73,1648429734236
4.4,7.73,1648429734273
4.41,7.73,1648429735237
3.15,7.73,1648429735276
3.16,7.73,1648429736238
3.9,7.73,1648429736276
3.91,7.73,1648429737239
4.65,7.73,1648429737276
4.67,7.73,1648429738240
3.41,7.73,1648429738307
3.42,7.73,1648429739241
4.16,7.73,1648429739278
4.17,7.73,1648429740242
2.91,7.73,1648429740311
2.93,7.73,1648429741243
3.66,7.73,1648429741312
3.68,7.73,1648429742244
4.42,7.73,1648429742281
4.43,7.73,1648429743244
3.17,7.73,1648429743282
3.18,7.73,1648429744246
3.92,7.73,1648429744291
3.92,7.73,1648429744291
