used, total, date
2.74,5.43,1648430222066
2.78,5.43,1648430222318
4.41,7.98,1648430222388
4.42,7.98,1648430222568
4.62,7.98,1648430222637
4.63,7.98,1648430222826
2.82,7.98,1648430222889
2.83,7.98,1648430223069
3.02,7.98,1648430223137
3.03,7.98,1648430223320
3.22,7.98,1648430223392
3.23,7.98,1648430223571
3.42,7.98,1648430223638
3.43,7.98,1648430223821
3.62,7.98,1648430223887
3.63,7.98,1648430224072
3.82,7.98,1648430224141
3.83,7.98,1648430224323
4.02,7.98,1648430224365
4.03,7.98,1648430224573
4.22,7.98,1648430224611
4.23,7.98,1648430224823
4.42,7.98,1648430224892
4.43,7.98,1648430225073
4.62,7.98,1648430225137
4.63,7.98,1648430225323
2.82,7.98,1648430225391
2.83,7.98,1648430225573
3.02,7.98,1648430225642
3.03,7.98,1648430225823
3.22,7.98,1648430225892
3.23,7.98,1648430226074
3.42,7.98,1648430226143
3.43,7.98,1648430226324
3.62,7.98,1648430226393
3.63,7.98,1648430226576
3.82,7.98,1648430226642
3.83,7.98,1648430226826
4.03,7.98,1648430226891
4.03,7.98,1648430227076
4.23,7.98,1648430227146
4.23,7.98,1648430227326
4.42,7.98,1648430227393
4.43,7.98,1648430227577
4.62,7.98,1648430227644
4.63,7.98,1648430227828
2.83,7.98,1648430227896
2.83,7.98,1648430228078
3.03,7.98,1648430228146
3.03,7.98,1648430228329
3.23,7.98,1648430228394
3.23,7.98,1648430228579
3.46,7.98,1648430228646
3.46,7.98,1648430228829
3.66,7.98,1648430228894
3.66,7.98,1648430229080
3.89,7.98,1648430229147
3.9,7.98,1648430229331
4.09,7.98,1648430229397
4.1,7.98,1648430229581
4.29,7.98,1648430229646
4.29,7.98,1648430229831
4.49,7.98,1648430229897
4.49,7.98,1648430230082
4.69,7.98,1648430230148
4.69,7.98,1648430230332
2.92,7.98,1648430230397
2.93,7.98,1648430230582
3.12,7.98,1648430230647
3.13,7.98,1648430230834
3.32,7.98,1648430230898
3.33,7.98,1648430231084
3.52,7.98,1648430231148
3.53,7.98,1648430231334
3.72,7.98,1648430231397
3.73,7.98,1648430231584
3.92,7.98,1648430231650
3.93,7.98,1648430231835
4.12,7.98,1648430231900
4.13,7.98,1648430232085
4.32,7.98,1648430232151
4.33,7.98,1648430232335
4.52,7.98,1648430232375
4.53,7.98,1648430232585
2.72,7.98,1648430232653
2.73,7.98,1648430232835
2.95,7.98,1648430232899
2.96,7.98,1648430233085
3.15,7.98,1648430233143
3.16,7.98,1648430233335
3.35,7.98,1648430233399
3.36,7.98,1648430233587
3.55,7.98,1648430233651
3.56,7.98,1648430233837
3.75,7.98,1648430233902
3.76,7.98,1648430234087
3.95,7.98,1648430234152
3.96,7.98,1648430234337
4.15,7.98,1648430234374
4.16,7.98,1648430234587
4.35,7.98,1648430234655
4.35,7.98,1648430234655
